id,name,url,price
34,Смартфон HUAWEI Mate 20 lite,https://market.yandex.ru/product--smartfon-huawei-mate-20-lite/186696063?show-uid=15490588270791469117216034&nid=54726&context=search,19990
35,Смартфон Samsung Galaxy J7 (2017),https://market.yandex.ru/product--smartfon-samsung-galaxy-j7-2017/1728227580?show-uid=15490588270791469117216035&nid=54726&context=search,10990
36,Смартфон Samsung Galaxy S9 64GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-s9-64gb/1968987605?show-uid=15490588270791469117216036&nid=54726&context=search,37490
37,Смартфон Samsung Galaxy J2 (2018),https://market.yandex.ru/product--smartfon-samsung-galaxy-j2-2018/1950474529?show-uid=15490588270791469117216037&nid=54726&context=search,7750
38,Смартфон Meizu M6 Note 16GB,https://market.yandex.ru/product--smartfon-meizu-m6-note-16gb/1731744354?show-uid=15490588270791469117216038&nid=54726&context=search,9490
39,Смартфон Xiaomi Mi Mix 2S 6/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-mix-2s-6-64gb/40657127?show-uid=15490588270791469117216039&nid=54726&context=search,25890
40,Смартфон Motorola Moto E4 Plus(XT1771) 16GB,https://market.yandex.ru/product--smartfon-motorola-moto-e4-plus-xt1771-16gb/1729732856?show-uid=15490588270791469117216040&nid=54726&context=search,6990
41,Смартфон Honor 7A,https://market.yandex.ru/product--smartfon-honor-7a/85840670?show-uid=15490588270791469117216041&nid=54726&context=search,7390
42,Смартфон Samsung Galaxy A8 (2018) 32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-a8-2018-32gb/1901397008?show-uid=15490588270791469117216042&nid=54726&context=search,19890
43,Смартфон Honor View 20 6/128GB,https://market.yandex.ru/product--smartfon-honor-view-20-6-128gb/342845116?show-uid=15490588270791469117216043&nid=54726&context=search,37990
44,Смартфон Xiaomi Mi A2 Lite 4/32GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-lite-4-32gb/169422488?show-uid=15490588270791469117216044&nid=54726&context=search,11890
45,Смартфон Meizu M6T 2/16GB,https://market.yandex.ru/product--smartfon-meizu-m6t-2-16gb/101184910?show-uid=15490588270791469117216045&nid=54726&context=search,7990
46,Телефон Alcatel 1066D,https://market.yandex.ru/product--telefon-alcatel-1066d/121981489?show-uid=15490588270791469117216046&nid=54726&context=search,820
47,Смартфон Honor 10 4/64GB,https://market.yandex.ru/product--smartfon-honor-10-4-64gb/43052347?show-uid=15490588270791469117216047&nid=54726&context=search,23790
48,Смартфон Samsung Galaxy J6+ (2018) 32GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-j6-2018-32gb/197651860?show-uid=15490588270791469117216048&nid=54726&context=search,12690
49,Смартфон Samsung Galaxy A8+ SM-A730F/DS,https://market.yandex.ru/product--smartfon-samsung-galaxy-a8-sm-a730f-ds/1881106514?show-uid=15490588298029098197316049&nid=54726&context=search,21980
50,Смартфон Samsung Galaxy J3 (2017),https://market.yandex.ru/product--smartfon-samsung-galaxy-j3-2017/1728850255?show-uid=15490588298029098197316050&nid=54726&context=search,6990
51,Смартфон HUAWEI Y5 Prime (2018),https://market.yandex.ru/product--smartfon-huawei-y5-prime-2018/125765448?show-uid=15490588298029098197316051&nid=54726&context=search,7250
52,Смартфон Xiaomi Mi8 Lite 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-mi8-lite-4-64gb/183265121?show-uid=15490588298029098197316052&nid=54726&context=search,15990
53,Смартфон HUAWEI Y6 Prime (2018) 16GB,https://market.yandex.ru/product--smartfon-huawei-y6-prime-2018-16gb/51776095?show-uid=15490588298029098197316053&nid=54726&context=search,8790
54,Смартфон INOI 5X Lite,https://market.yandex.ru/product--smartfon-inoi-5x-lite/336299492?show-uid=15490588298029098197316054&nid=54726&context=search,5990
55,Смартфон Motorola Moto G5s 3/32GB,https://market.yandex.ru/product--smartfon-motorola-moto-g5s-3-32gb/1731816079?show-uid=15490588298029098197316055&nid=54726&context=search,7990
56,Смартфон Motorola Moto G5s Plus 32GB (XT1803),https://market.yandex.ru/product--smartfon-motorola-moto-g5s-plus-32gb-xt1803/269350122?show-uid=15490588298029098197316056&nid=54726&context=search,8990
57,Смартфон Meizu M6s 32GB,https://market.yandex.ru/product--smartfon-meizu-m6s-32gb/1940195930?show-uid=15490588298029098197316057&nid=54726&context=search,10490
58,Смартфон Xiaomi Redmi 5 Plus 4/64GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-5-plus-4-64gb/1831859946?show-uid=15490588298029098197316058&nid=54726&context=search,10390
59,Смартфон Xiaomi Mi Mix 2S 6/128GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-mix-2s-6-128gb/40381775?show-uid=15490588298029098197316059&nid=54726&context=search,26690
